"tablename"
"badges"
"blog_posts"
"breeder_subscriptions"
"breeders"
"inquiries"
"direct_messages"
"discounts"
"friend_requests"
"friendships"
"high_table_invitations"
"litters"
"lost_found_pets"
"newsletter_subscriptions"
"order_items"
"orders"
"puppies"
"pet_owners"
"pickup_reminders"
"site_config"
"social_post_likes"
"social_posts"
"user_profiles"
"social_post_comments"
"user_badges"
"user_follows"
"user_notifications"
